384,Hugh Jackman, Kate Beckinsale, Richard Roxburgh, David Wenham
385,Jared Leto, Alicia Witt, Rebecca Gayheart, Michael Rosenbaum
386,Tammy Lauren, Andrew Divoff, Robert Englund, Chris Lemmon
387,Mike Myers, Alec Baldwin, Kelly Preston, Dakota Fanning
388,Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor
389,Jet Li, Carla Gugino, Delroy Lindo, Jason Statham
390,Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater
391,Rene Auberjonois, Jeannie Elias, Pat Fraley, Martin Jarvis
392,Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick
393,Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing
394,Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover
395,James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell
